key,Current_status,Created,historyid,Status_Date,Step_Status,Tostep_Status,Issue_type
RTICSD-261,Concluído,2020-06-19T18:06:03.075-0300,3598698,2020-06-19T18:52:23.113-0300,In Progress,QA,Report an Integration Problem - Integrations CPG
RTICSD-261,Concluído,2020-06-19T18:06:03.075-0300,3598710,2020-06-19T18:52:58.688-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-260,Concluído,2020-06-19T17:28:31.211-0300,3597495,2020-06-19T18:24:34.969-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-260,Concluído,2020-06-19T17:28:31.211-0300,3597507,2020-06-19T18:25:15.971-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-260,Concluído,2020-06-19T17:28:31.211-0300,3654978,2020-06-26T12:47:07.876-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-260,Concluído,2020-06-19T17:28:31.211-0300,3654979,2020-06-26T12:47:09.728-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-259,Concluído,2020-06-19T16:59:35.011-0300,3598815,2020-06-19T19:00:46.493-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-259,Concluído,2020-06-19T16:59:35.011-0300,3598887,2020-06-19T19:05:18.049-0300,In Progress,Done,Report an Integration Problem - Integrations CPG
RTICSD-258,Concluído,2020-06-19T15:45:42.561-0300,3595856,2020-06-19T16:42:32.772-0300,Backlog,In Progress,Add New Store Type for Integration - Integration CPG
RTICSD-258,Concluído,2020-06-19T15:45:42.561-0300,3595857,2020-06-19T16:42:35.110-0300,In Progress,Developers Analysis,Add New Store Type for Integration - Integration CPG
RTICSD-258,Concluído,2020-06-19T15:45:42.561-0300,3604480,2020-06-22T12:47:11.138-0300,Developers Analysis,QA,Add New Store Type for Integration - Integration CPG
RTICSD-258,Concluído,2020-06-19T15:45:42.561-0300,3604484,2020-06-22T12:47:19.464-0300,QA,Done,Add New Store Type for Integration - Integration CPG
RTICSD-257,Concluído,2020-06-19T15:31:53.378-0300,3595618,2020-06-19T16:23:32.487-0300,Backlog,In Progress,Add New Stores to Integrations CPG
RTICSD-257,Concluído,2020-06-19T15:31:53.378-0300,3595620,2020-06-19T16:23:38.865-0300,In Progress,Waiting for response,Add New Stores to Integrations CPG
RTICSD-257,Concluído,2020-06-19T15:31:53.378-0300,3595775,2020-06-19T16:37:18.477-0300,Waiting for response,QA,Add New Stores to Integrations CPG
